Название,Автор,Жанр,Описание,Дата издания,Мировой рейтинг
Осень золотого века,Иван Тургенев,Психология,"Захватывающее произведение Иван Тургенев в жанре психология, рассказывающее о приключениях главных героев.",1835,3.7
Взлет,Элис Манро,Фэнтези,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1898,4.4
Тайна семи грехов,Маргарет Этвуд,Боевик,"Произведение, в котором Маргарет Этвуд раскрывает сложные социальные проблемы через увлекательное повествование.",1874,3.6
Полдень равноденствия,Николай Гоголь,Детектив,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1927,3.5
Мечта далеких миров,Джонатан Франзен,Боевик,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Джонатан Франзен.,1960,4.4
Чужак,Максим Горький,История,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Максим Горький.,1845,2.6
Луна ста лет,Александр Солженицын,Фэнтези,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях фэнтези.",1901,3.8
Метаморфозы,Антон Чехов,Фантастика,"История о любви, предательстве и искуплении, мастерски рассказанная Антон Чехов.",1903,4.9
Чужак,Антон Чехов,Научная фантастика,"История о любви, предательстве и искуплении, мастерски рассказанная Антон Чехов.",1832,4.8
Портрет семи королевств,Захар Прилепин,Фантастика,"История о любви, предательстве и искуплении, мастерски рассказанная Захар Прилепин.",1933,3.9
Игра,Максим Горький,Научная литература,"Произведение, в котором Максим Горький раскрывает сложные социальные проблемы через увлекательное повествование.",1965,3.4
Мастер,Умберто Эко,Философия,"Книга, которая изменила представление о жанре философия и принесла Умберто Эко мировую известность.",2018,5.0
Рассвет девяти кругов,Михаил Шолохов,Комедия,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1922,4.9
Любовь несбывшихся желаний,Александр Пушкин,Научная фантастика,"Одно из лучших произведений Александр Пушкин, ставшее классикой жанра научная фантастика.",1991,4.5
Остров забытых предков,Умберто Эко,Научная литература,"Произведение, в котором Умберто Эко раскрывает сложные социальные проблемы через увлекательное повествование.",1928,4.7
Бессмертие,Стивен Кинг,Драма,"Захватывающее произведение Стивен Кинг в жанре драма, рассказывающее о приключениях главных героев.",1815,3.3
Солнце изумрудного города,Чимаманда Нгози Адичи,Философия,"Захватывающее произведение Чимаманда Нгози Адичи в жанре философия, рассказывающее о приключениях главных героев.",1838,3.5
Выбор заката,Салман Рушди,История,Книга 'Выбор заката' - это глубокое исследование человеческой природы через призму история.,1839,3.4
Дом рассвета,Марина Цветаева,Научная фантастика,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1953,3.1
Море шести чувств,Антон Чехов,Мистика,"Книга, получившая множество литературных премий и признание критиков во всем мире.",2024,3.4
Проклятие хрустального замка,Томас Манн,Детектив,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1895,3.2
Война ста лет,Томас Манн,Детектив,"Произведение, в котором Томас Манн раскрывает сложные социальные проблемы через увлекательное повествование.",1882,4.1
Воскрешение,Вирджиния Вулф,История,"История о любви, предательстве и искуплении, мастерски рассказанная Вирджиния Вулф.",1990,4.9
Чужак,Борис Акунин,Триллер,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1931,3.1
Смерть рассвета,Марк Твен,Детектив,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1870,4.1
Тошнота,Джейн Остин,Сказка,"Одно из лучших произведений Джейн Остин, ставшее классикой жанра сказка.",1824,3.0
Луна рассвета,Джейн Остин,Комедия,"История о любви, предательстве и искуплении, мастерски рассказанная Джейн Остин.",1891,4.5
Воскрешение,Михаил Булгаков,Научная литература,"История о любви, предательстве и искуплении, мастерски рассказанная Михаил Булгаков.",2003,3.9
Бессмертие,Борис Пастернак,Комедия,"Захватывающее произведение Борис Пастернак в жанре комедия, рассказывающее о приключениях главных героев.",2025,3.6
Крик,Дэн Браун,Сказка,"Книга, которая изменила представление о жанре сказка и принесла Дэн Браун мировую известность.",1842,3.4
Невыносимость,Джоан Роулинг,Драма,"История о любви, предательстве и искуплении, мастерски рассказанная Джоан Роулинг.",1930,4.7
Эйфория,Томас Манн,Биография,"Книга, которая изменила представление о жанре биография и принесла Томас Манн мировую известность.",1916,3.9
Сказание шести чувств,Марк Твен,Роман,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1893,2.0
Смерть железного века,Франц Кафка,Научная литература,Книга 'Смерть железного века' - это глубокое исследование человеческой природы через призму научная литература.,1873,4.1
Жизнь далеких миров,Андрей Платонов,Комедия,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1811,3.8
Путешествие тысячи планет,Марк Твен,Ужасы,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1931,3.9
История равноденствия,Михаил Шолохов,Драма,"Одно из лучших произведений Михаил Шолохов, ставшее классикой жанра драма.",1999,1.4
Замок черного ворона,Донна Тартт,Научная литература,"Одно из лучших произведений Донна Тартт, ставшее классикой жанра научная литература.",1997,3.6
Разум,Мо Янь,Фантастика,"Произведение, в котором Мо Янь раскрывает сложные социальные проблемы через увлекательное повествование.",1976,3.9
Полдень равноденствия,Пауло Коэльо,Психология,"Одно из лучших произведений Пауло Коэльо, ставшее классикой жанра психология.",1988,3.1
Шепот,Вирджиния Вулф,Фантастика,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Вирджиния Вулф.,1979,3.5
Исповедь восьми благословений,Антон Чехов,Научная фантастика,"Одно из лучших произведений Антон Чехов, ставшее классикой жанра научная фантастика.",1983,4.2
Надежда потерянного времени,Салман Рушди,Научная литература,Книга 'Надежда потерянного времени' - это глубокое исследование человеческой природы через призму научная литература.,1997,4.4
Путешествие разбитых надежд,Анна Ахматова,Роман,Книга 'Путешествие разбитых надежд' - это глубокое исследование человеческой природы через призму роман.,1869,3.3
Чувства,Джеймс Джойс,Классика,"Одно из лучших произведений Джеймс Джойс, ставшее классикой жанра классика.",1980,4.6
Утопия,Юваль Ной Харари,Научная литература,"История о любви, предательстве и искуплении, мастерски рассказанная Юваль Ной Харари.",1827,3.1
Остров белого лотоса,Анна Ахматова,Научная литература,"Одно из лучших произведений Анна Ахматова, ставшее классикой жанра научная литература.",1882,4.6
Маятник,Чарльз Диккенс,Триллер,"Одно из лучших произведений Чарльз Диккенс, ставшее классикой жанра триллер.",1932,3.5
Остров вечности,Юваль Ной Харари,Мистика,"Книга, которая изменила представление о жанре мистика и принесла Юваль Ной Харари мировую известность.",1966,3.1
Преступление,Стивен Кинг,Психология,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Стивен Кинг.,1837,5.0
Наказание,Михаил Булгаков,Комедия,"Произведение, в котором Михаил Булгаков раскрывает сложные социальные проблемы через увлекательное повествование.",1825,3.8
Полночь светлого будущего,Маргарет Этвуд,Биография,"Захватывающее произведение Маргарет Этвуд в жанре биография, рассказывающее о приключениях главных героев.",1811,4.6
Воспоминания жемчужной реки,Уильям Фолкнер,Роман,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",2008,3.9
Небо белого лотоса,Андрей Платонов,Фэнтези,Книга 'Небо белого лотоса' - это глубокое исследование человеческой природы через призму фэнтези.,1859,4.3
Шутка,Марина Цветаева,Фэнтези,Книга 'Шутка' - это глубокое исследование человеческой природы через призму фэнтези.,1832,4.9
Игра семи королевств,Чимаманда Нгози Адичи,Боевик,"Захватывающее произведение Чимаманда Нгози Адичи в жанре боевик, рассказывающее о приключениях главных героев.",1813,3.5
Дар янтарного солнца,Борис Акунин,Драма,"Произведение, в котором Борис Акунин раскрывает сложные социальные проблемы через увлекательное повествование.",1986,3.1
Полночь изумрудного города,Захар Прилепин,Фэнтези,Книга 'Полночь изумрудного города' - это глубокое исследование человеческой природы через призму фэнтези.,1878,2.8
Невыносимость,Салман Рушди,Научная литература,"История о любви, предательстве и искуплении, мастерски рассказанная Салман Рушди.",1946,3.1
Имя,Алексей Иванов,Философия,"Захватывающее произведение Алексей Иванов в жанре философия, рассказывающее о приключениях главных героев.",1908,4.1
Мир вечности,Пауло Коэльо,Триллер,Книга 'Мир вечности' - это глубокое исследование человеческой природы через призму триллер.,1832,3.7
Крик,Лев Толстой,Комедия,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях комедия.",2005,3.9
Преступление,Элис Манро,Философия,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях философия.",1832,4.5
Загадка рубинового леса,Татьяна Толстая,Биография,"История о любви, предательстве и искуплении, мастерски рассказанная Татьяна Толстая.",1983,3.0
Сад потерянного времени,Нил Гейман,История,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1937,3.1
Ненависть ста лет,Иван Тургенев,Мистика,Книга 'Ненависть ста лет' - это глубокое исследование человеческой природы через призму мистика.,1832,4.4
Дар золотого века,Юваль Ной Харари,Фэнтези,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Юваль Ной Харари.,1901,1.7
Падение,Марк Твен,Мистика,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Марк Твен.,1876,4.8
Меланхолия,Томас Манн,Биография,"Захватывающее произведение Томас Манн в жанре биография, рассказывающее о приключениях главных героев.",1965,4.0
Река изумрудного города,Иосиф Бродский,Сказка,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях сказка.",2010,3.8
Загадка забытых предков,Орхан Памук,Боевик,"История о любви, предательстве и искуплении, мастерски рассказанная Орхан Памук.",1872,3.5
Выбор несбывшихся желаний,Эрнест Хемингуэй,Фантастика,"Захватывающее произведение Эрнест Хемингуэй в жанре фантастика, рассказывающее о приключениях главных героев.",1828,4.0
Небо девяти кругов,Марина Цветаева,Роман,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Марина Цветаева.,1947,3.9
Земля двух столиц,Людмила Улицкая,Триллер,"Книга, которая изменила представление о жанре триллер и принесла Людмила Улицкая мировую известность.",1869,4.1
Взлет,Дмитрий Глуховский,Философия,Книга 'Взлет' - это глубокое исследование человеческой природы через призму философия.,1979,3.9
Приключения жемчужной реки,Эрнест Хемингуэй,Роман,"Произведение, в котором Эрнест Хемингуэй раскрывает сложные социальные проблемы через увлекательное повествование.",1888,4.0
Загадка десяти заповедей,Гузель Яхина,Детектив,Книга 'Загадка десяти заповедей' - это глубокое исследование человеческой природы через призму детектив.,1903,3.3
Осень семи королевств,Татьяна Толстая,Роман,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1824,3.2
Письма жемчужной реки,Михаил Булгаков,Классика,"История о любви, предательстве и искуплении, мастерски рассказанная Михаил Булгаков.",1956,1.4
Наследие тысячи дней,Нил Гейман,Фантастика,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях фантастика.",1966,4.2
Радость параллельных вселенных,Вирджиния Вулф,Боевик,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1924,3.0
Крик,Габриэль Гарсиа Маркес,Роман,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1903,4.7
Путешествие новолуния,Нил Гейман,Драма,"Произведение, в котором Нил Гейман раскрывает сложные социальные проблемы через увлекательное повествование.",1907,3.3
Путешествие хрустального замка,Стивен Кинг,Приключения,Книга 'Путешествие хрустального замка' - это глубокое исследование человеческой природы через призму приключения.,1984,3.6
Герой,Джон Стейнбек,Биография,Книга 'Герой' - это глубокое исследование человеческой природы через призму биография.,1851,4.0
Весна черного ворона,Томас Манн,Научная фантастика,Книга 'Весна черного ворона' - это глубокое исследование человеческой природы через призму научная фантастика.,1821,4.6
Портрет разбитых надежд,Венедикт Ерофеев,Мистика,"Захватывающее произведение Венедикт Ерофеев в жанре мистика, рассказывающее о приключениях главных героев.",1993,3.8
Исповедь полнолуния,Харуки Мураками,Биография,"Книга, которая изменила представление о жанре биография и принесла Харуки Мураками мировую известность.",1833,4.0
Ностальгия,Пауло Коэльо,Фэнтези,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",2002,4.4
Исповедь вечности,Уильям Фолкнер,Боевик,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1891,3.1
Антиутопия,Джордж Оруэлл,Научная литература,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1985,4.9
Выбор прошлых жизней,Чарльз Диккенс,Поэзия,Книга 'Выбор прошлых жизней' - это глубокое исследование человеческой природы через призму поэзия.,1973,4.1
Судьба белого лотоса,Джон Стейнбек,Детектив,"Захватывающее произведение Джон Стейнбек в жанре детектив, рассказывающее о приключениях главных героев.",1814,1.2
Выбор вечной любви,Харуки Мураками,Психология,"Захватывающее произведение Харуки Мураками в жанре психология, рассказывающее о приключениях главных героев.",1895,1.8
Радость прошлых жизней,Эрнест Хемингуэй,Детектив,"Захватывающее произведение Эрнест Хемингуэй в жанре детектив, рассказывающее о приключениях главных героев.",1945,2.0
Солнце полнолуния,Габриэль Гарсиа Маркес,Фэнтези,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Габриэль Гарсиа Маркес.,1882,5.0
Земля тысячи дней,Умберто Эко,Сказка,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1895,4.2
Игра железного века,Габриэль Гарсиа Маркес,Детектив,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Габриэль Гарсиа Маркес.,1817,4.4
Сказание шести чувств,Дмитрий Глуховский,История,"Произведение, в котором Дмитрий Глуховский раскрывает сложные социальные проблемы через увлекательное повествование.",1892,4.0
Сказание светлого будущего,Чимаманда Нгози Адичи,Поэзия,"Произведение, в котором Чимаманда Нгози Адичи раскрывает сложные социальные проблемы через увлекательное повествование.",1979,3.9
Радость изумрудного города,Пауло Коэльо,Комедия,"Захватывающее произведение Пауло Коэльо в жанре комедия, рассказывающее о приключениях главных героев.",1936,2.9
Весна светлого будущего,Захар Прилепин,Философия,"Книга, которая изменила представление о жанре философия и принесла Захар Прилепин мировую известность.",1895,3.9
Путешествие изумрудного города,Татьяна Толстая,Боевик,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Татьяна Толстая.,1939,3.9
Коллекционер,Донна Тартт,Фантастика,"Одно из лучших произведений Донна Тартт, ставшее классикой жанра фантастика.",1804,3.1
Море последнего дождя,Малкольм Гладуэлл,Драма,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1826,1.1
Разум,Сергей Есенин,Боевик,"История о любви, предательстве и искуплении, мастерски рассказанная Сергей Есенин.",1812,3.2
Маятник,Джордж Мартин,История,Книга 'Маятник' - это глубокое исследование человеческой природы через призму история.,1856,4.4
Игра семи грехов,Малкольм Гладуэлл,Научная фантастика,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1955,3.5
Война далеких миров,Габриэль Гарсиа Маркес,Фантастика,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1927,3.2
Тишина,Александр Солженицын,Научная фантастика,"Произведение, в котором Александр Солженицын раскрывает сложные социальные проблемы через увлекательное повествование.",1943,2.5
Шутка,Умберто Эко,Детектив,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1834,4.7
Время,Габриэль Гарсиа Маркес,Научная литература,"Одно из лучших произведений Габриэль Гарсиа Маркес, ставшее классикой жанра научная литература.",1856,3.7
Утопия,Юваль Ной Харари,Детектив,"Книга, которая изменила представление о жанре детектив и принесла Юваль Ной Харари мировую известность.",1913,3.9
Разум,Татьяна Толстая,Психология,Книга 'Разум' - это глубокое исследование человеческой природы через призму психология.,1874,3.7
Жизнь светлого будущего,Василий Гроссман,Философия,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1868,4.2
Мир равноденствия,Альбер Камю,Ужасы,"История о любви, предательстве и искуплении, мастерски рассказанная Альбер Камю.",1920,4.4
Звезда равноденствия,Михаил Шолохов,Классика,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1876,3.7
Сад черного ворона,Гузель Яхина,Психология,"Книга, которая изменила представление о жанре психология и принесла Гузель Яхина мировую известность.",1955,3.1
Мир разбитых надежд,Лев Толстой,Сказка,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Лев Толстой.,1911,4.2
Королевство сапфирового моря,Василий Гроссман,Научная литература,"Книга, которая изменила представление о жанре научная литература и принесла Василий Гроссман мировую известность.",1802,4.5
Солнце трех сестер,Джеймс Джойс,История,"Захватывающее произведение Джеймс Джойс в жанре история, рассказывающее о приключениях главных героев.",2016,4.3
Рассвет золотого века,Виктор Пелевин,Научная литература,"Произведение, в котором Виктор Пелевин раскрывает сложные социальные проблемы через увлекательное повествование.",1854,2.6
Смерть потерянного времени,Эрнест Хемингуэй,Сказка,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Эрнест Хемингуэй.,1821,1.9
Фуга,Джон Стейнбек,Фэнтези,Книга 'Фуга' - это глубокое исследование человеческой природы через призму фэнтези.,1840,3.7
Отчаяние трех сестер,Александр Пушкин,Фэнтези,"История о любви, предательстве и искуплении, мастерски рассказанная Александр Пушкин.",1977,4.8
Герой,Пауло Коэльо,Философия,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Пауло Коэльо.,1801,3.7
Замок великих открытий,Пауло Коэльо,Боевик,"Одно из лучших произведений Пауло Коэльо, ставшее классикой жанра боевик.",1904,4.7
Сказание восьми благословений,Борис Акунин,Приключения,Книга 'Сказание восьми благословений' - это глубокое исследование человеческой природы через призму приключения.,1811,1.4
Судьба далеких миров,Марина Цветаева,Философия,Книга 'Судьба далеких миров' - это глубокое исследование человеческой природы через призму философия.,1921,4.0
Война темной души,Альбер Камю,История,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1843,5.0
Сказание вечной любви,Захар Прилепин,Фэнтези,"Произведение, в котором Захар Прилепин раскрывает сложные социальные проблемы через увлекательное повествование.",1878,4.0
Город семи королевств,Элис Манро,Научная литература,"Одно из лучших произведений Элис Манро, ставшее классикой жанра научная литература.",1903,3.9
Крик,Иосиф Бродский,Сказка,"Книга, получившая множество литературных премий и признание критиков во всем мире.",2015,4.4
Лето тысячи дней,Вирджиния Вулф,Триллер,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Вирджиния Вулф.,1904,4.6
Лето изумрудного города,Джоан Роулинг,Мистика,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях мистика.",1901,2.2
Радость несбывшихся желаний,Джон Стейнбек,Приключения,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Джон Стейнбек.,1944,3.7
Легкость,Гузель Яхина,Мистика,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях мистика.",1977,3.5
Путешествие тысячи дней,Малкольм Гладуэлл,Классика,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Малкольм Гладуэлл.,1918,4.5
Сказание рассвета,Джоан Роулинг,Мистика,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1862,3.9
Исповедь одинокого сердца,Джордж Мартин,Фантастика,"Одно из лучших произведений Джордж Мартин, ставшее классикой жанра фантастика.",1893,3.3
Река золотого века,Татьяна Толстая,Сказка,Книга 'Река золотого века' - это глубокое исследование человеческой природы через призму сказка.,1932,3.2
Мир полнолуния,Нил Гейман,Фэнтези,"Книга, которая изменила представление о жанре фэнтези и принесла Нил Гейман мировую известность.",1841,3.7
Сон серебряного века,Джон Стейнбек,Комедия,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях комедия.",1835,4.1
Шум,Томас Манн,Научная литература,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1827,3.7
Загадка древних цивилизаций,Михаил Шолохов,Приключения,"Книга, которая изменила представление о жанре приключения и принесла Михаил Шолохов мировую известность.",1917,3.9
Симфония,Салман Рушди,Психология,"Книга, которая изменила представление о жанре психология и принесла Салман Рушди мировую известность.",1957,3.9
Имя,Нил Гейман,Детектив,"Захватывающее произведение Нил Гейман в жанре детектив, рассказывающее о приключениях главных героев.",1800,3.7
Река вечной любви,Донна Тартт,Фантастика,"История о любви, предательстве и искуплении, мастерски рассказанная Донна Тартт.",1848,3.9
Надежда,Джоан Роулинг,Ужасы,"История о любви, предательстве и искуплении, мастерски рассказанная Джоан Роулинг.",1923,3.2
Мир древних цивилизаций,Борис Акунин,История,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Борис Акунин.,1868,4.7
Процесс,Маргарет Этвуд,Научная литература,"Одно из лучших произведений Маргарет Этвуд, ставшее классикой жанра научная литература.",1989,4.4
Весна янтарного солнца,Малкольм Гладуэлл,Детектив,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях детектив.",1929,4.7
Жизнь полнолуния,Чимаманда Нгози Адичи,Приключения,"История о любви, предательстве и искуплении, мастерски рассказанная Чимаманда Нгози Адичи.",1975,1.0
Путешествие новолуния,Джордж Оруэлл,Драма,"Произведение, в котором Джордж Оруэлл раскрывает сложные социальные проблемы через увлекательное повествование.",1839,3.5
Прозрение,Гузель Яхина,Приключения,"Книга, которая изменила представление о жанре приключения и принесла Гузель Яхина мировую известность.",1978,3.2
Небо золотого века,Максим Горький,Мистика,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Максим Горький.,1893,4.2
Дар потерянного времени,Салман Рушди,Боевик,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1898,4.4
Радость ста лет,Михаил Шолохов,Триллер,Книга 'Радость ста лет' - это глубокое исследование человеческой природы через призму триллер.,1841,4.3
Путешествие забытых предков,Владимир Набоков,Поэзия,"Захватывающее произведение Владимир Набоков в жанре поэзия, рассказывающее о приключениях главных героев.",1962,3.2
Фуга,Джеймс Джойс,Классика,"Одно из лучших произведений Джеймс Джойс, ставшее классикой жанра классика.",2007,4.4
Море светлого будущего,Борис Акунин,Классика,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1952,3.4
Замок,Людмила Улицкая,Роман,"Произведение, в котором Людмила Улицкая раскрывает сложные социальные проблемы через увлекательное повествование.",1896,4.7
Реквием,Франц Кафка,Сказка,"Произведение, в котором Франц Кафка раскрывает сложные социальные проблемы через увлекательное повествование.",2005,4.6
Остров хрустального замка,Марк Твен,Комедия,"Захватывающее произведение Марк Твен в жанре комедия, рассказывающее о приключениях главных героев.",1904,5.0
Слепота,Эрнест Хемингуэй,Сказка,"Книга, которая изменила представление о жанре сказка и принесла Эрнест Хемингуэй мировую известность.",1925,3.2
Отчаяние серебряного века,Маргарет Этвуд,Философия,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях философия.",1963,5.0
Море заката,Гузель Яхина,Фэнтези,Книга 'Море заката' - это глубокое исследование человеческой природы через призму фэнтези.,2024,3.8
Хроники рассвета,Нил Гейман,Научная литература,"Одно из лучших произведений Нил Гейман, ставшее классикой жанра научная литература.",1821,3.0
Дневник бронзового века,Захар Прилепин,Философия,"История о любви, предательстве и искуплении, мастерски рассказанная Захар Прилепин.",1987,4.8
Весна черного ворона,Франц Кафка,Сказка,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1948,4.1
